Namespace,Pod,Container,CPU_Req_m,CPU_Lim_m,CPU_Usage_m,Mem_Req_Mi,Mem_Lim_Mi,Mem_Usage_Mi
cert-manager,cert-manager-7fc4ff748f-f6tgz,cert-manager-controller,50,200,0,80,256,0
cert-manager,cert-manager-cainjector-5b9644d85d-vv4k9,cert-manager-cainjector,50,200,0,80,512,0
cert-manager,cert-manager-webhook-76966fbfbc-k4tpp,cert-manager-webhook,50,200,0,64,256,0
coroot,coroot-b7bc49b5-mpvr4,coroot,100,300,0,400,600,0
coroot,coroot-clickhouse-shard0-0,clickhouse,150,500,0,1024,2048,0
coroot,coroot-cluster-agent-74494b95cf-dh6cb,cluster-agent,60,150,0,400,600,0
coroot,coroot-node-agent-6jlf8,node-agent,40,1000,0,256,512,0
coroot,coroot-node-agent-lnfpx,node-agent,40,1000,0,256,512,0
coroot,coroot-node-agent-whkbl,node-agent,40,1000,0,256,512,0
ingress-nginx,ingress-nginx-controller-6b88b646b7-k4rrg,controller,100,500,0,128,512,0
kube-system,cilium-ckjx5,cilium-agent,150,450,0,512,768,0
kube-system,cilium-envoy-5klkl,cilium-envoy,50,150,0,64,128,0
kube-system,cilium-envoy-h7vmq,cilium-envoy,50,150,0,64,128,0
kube-system,cilium-envoy-nbpwh,cilium-envoy,50,150,0,64,128,0
kube-system,cilium-envoy-z9vgm,cilium-envoy,50,150,0,64,128,0
kube-system,cilium-kw4m7,cilium-agent,150,450,0,512,768,0
kube-system,cilium-operator-69c48d9d79-f8j9l,cilium-operator,50,150,0,128,256,0
kube-system,cilium-rfkwm,cilium-agent,150,450,0,512,768,0
kube-system,cilium-vwrw8,cilium-agent,150,450,0,512,768,0
kube-system,coredns-7bccf6c488-4b2q7,coredns,50,150,0,64,128,0
kube-system,coredns-7bccf6c488-7v9vx,coredns,50,150,0,64,128,0
kube-system,etcd-k8s-master,etcd,100,200,0,512,1024,0
kube-system,hubble-relay-7c8f85b565-t5lhc,hubble-relay,10,50,0,32,64,0
